--------- beginning of main
05-13 15:46:53.740 20803 20803 I Choreographer: Skipped 35 frames!  The application may be doing too much work on its main thread.
05-13 15:46:53.894  1208  1236 I ActivityTaskManager: Displayed exataid.exatarep/.face.multimodal.BioFaceV2: +608ms
05-13 15:46:57.021  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: LR, pids: 20803 14814 
05-13 15:46:57.021  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: CA, pids: 26794 4976 5544 5587 
05-13 15:46:57.021  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: PE, pids: 4617 22281 1804 14871 14888 14892 4662 2133 2438 2444 2725 1208 7115 27340 2535 32744 3320 14842 2815 
05-13 15:46:57.021  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: IN, pids: 764 
05-13 15:46:57.021  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: SE, pids: 3010 
05-13 15:46:57.021  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: AD, pids: 2576 23208 11068 7868 14915 14935 14942 15076
05-13 15:47:05.923  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: LR, pids: 20803 14814 
05-13 15:47:05.923  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: PE, pids: 22281 14871 14888 14892 2133 2438 2444 2725 7115 27340 2535 32744 3320 14842 2815
05-13 15:47:05.923  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: SE, pids: 3010 5815 6237 6142 
05-13 15:47:05.923  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: AD, pids: 2576 30365 23208 11068 7868 14915 14935 14942 15076
05-13 15:47:51.043  1208  1236 I ActivityTaskManager: Displayed exataid.exatarep/.face.multimodal.MultiModalActivity: +465ms
05-13 15:47:54.480  1208  1236 I ActivityTaskManager: Displayed exataid.exatarep/.face.multimodal.BioFaceV2: +606ms
05-13 15:47:57.796  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: LR, pids: 20803 14814
05-13 15:47:57.796  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: CA, pids: 6673 6359 6424 6504 
05-13 15:47:57.796  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: PE, pids: 22281 14871 14888 14892 2133 8789 2438 2444 8845 2725 7115 27340 2535 32744 3320 14842 2815 
05-13 15:47:57.796  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: SE, pids: 3010 5815 6142 
05-13 15:47:57.796  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: AD, pids: 2576 30365 23208 8763 11068 7868 14915 14935 14942 15076
05-13 15:48:07.044  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: LR, pids: 20803 14814
05-13 15:48:07.044  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: CA, pids: 9411 32744 
05-13 15:48:07.044  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: PE, pids: 22281 14871 14888 14892 2133 8789 2438 2444 8845 2725 1208 7115 27340 2535 3320 14842 6142 2815 
05-13 15:48:07.044  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: IN, pids: 5815 
05-13 15:48:07.044  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: SE, pids: 3010 
05-13 15:48:07.044  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: AD, pids: 2576 30365 23208 8763 11068 7868 14915 14935 14942 15076
05-13 15:48:19.924  1208  1236 I ActivityTaskManager: Displayed exataid.exatarep/.face.multimodal.BioFaceV2: +527ms
05-13 15:48:23.157  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: LR, pids: 20803 14814 
05-13 15:48:23.157  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: CA, pids: 8789 
05-13 15:48:23.157  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: PE, pids: 22281 14871 14888 14892 2133 2438 2444 8845 9626 2725 9654 1208 7115 27340 2535 3320 14842 6142 2815 
05-13 15:48:23.157  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: IN, pids: 5815 
05-13 15:48:23.157  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: SE, pids: 3010 
05-13 15:48:23.157  1208  2047 I ChimeraAggressivePolicyHandler: Skipped reason: AD, pids: 2576 30365 23208 8763 11068 7868 14915 14935 14942 15076
Quit with code null
